event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
UFC 201,francisco rivera,erik perez,Blue,Bantamweight,0,Men,Decision - Unanimous,3,3,300,George Allen,0,55,158,0.34,59,163,0.36,0,0,0.0,0,0,1,11,7,42.0,172.72,61.23,177.8,Orthodox,4.07,3.16,0.41,0.63,0.68,0.68,0.6,1.01,0,54,156,0.34,147,259,0.57,2,6,0.33,0,0,300,17,6,34.0,172.72,61.23,172.72,Orthodox,3.16,2.09,0.4,0.55,0.66,0.69,0.2,3.16,0,1,2,0.0,-88,-96,-0.21,-2,-6,-0.33,0,0,-299,-6,1,8.0,0.0,0.0,5.0800000000000125,0.91,1.0700000000000005,0.01,0.08,0.02,-0.01,0.3999999999999999,-2.15
UFC Fight Night,francisco rivera,brad pickett,Blue,Bantamweight,0,Men,Decision - Split,3,3,300,Neil Hall,0,69,165,0.41,69,165,0.42,2,2,1.0,0,0,21,11,7,42.0,172.72,61.23,177.8,Orthodox,4.07,3.16,0.41,0.63,0.68,0.68,0.6,1.01,0,39,137,0.28,64,163,0.39,3,5,0.6,0,0,199,25,14,45.0,167.64,61.23,172.72,Orthodox,3.02,4.63,0.31,0.44,0.55,0.58,0.4,2.47,0,30,28,0.1299999999999999,5,2,0.03,-1,-3,0.4,0,0,-178,-14,-7,-3.0,5.0800000000000125,0.0,5.0800000000000125,1.0500000000000005,-1.47,0.1,0.19,0.13,0.1,0.1999999999999999,-1.46
UFC on FOX,iuri alcantara,jimmie rivera,Blue,Bantamweight,0,Men,Decision - Unanimous,3,3,300,Liam Kerrigan,0,41,106,0.38,43,108,0.4,0,0,0.0,0,0,1,35,10,43.0,175.26,61.23,180.34,Southpaw,2.72,2.79,0.45,0.62,0.49,0.6,0.8,1.44,0,45,102,0.44,64,124,0.52,3,6,0.5,0,0,132,23,5,34.0,162.56,61.23,172.72,Orthodox,4.03,3.9,0.4,0.27,0.6,0.92,0.1,0.88,0,-4,4,-0.06,-21,-16,-0.12,-3,-6,-0.5,0,0,-131,12,5,9.0,12.699999999999989,0.0,7.620000000000003,-1.31,-1.11,0.05,0.35,-0.11,-0.32,0.7000000000000001,0.5599999999999999
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,chris gruetzemacher,abner lloveras,Red,Lightweight,0,Men,Decision - Unanimous,3,3,300,Jason Herzog,0,103,182,0.56,135,217,0.62,0,0,0.0,0,0,30,15,5,37.0,172.72,70.31,172.72,Orthodox,6.18,4.96,0.57,0.5,0.52,0.65,0.0,0.21,0,94,189,0.49,99,194,0.51,2,10,0.2,0,0,171,20,9,41.0,180.34,70.31,,,6.27,6.87,0.49,0.2,0.43,0.0,0.0,2.0,0,9,-7,0.07,36,23,0.1099999999999999,-2,-10,-0.2,0,0,-141,-5,-4,-4.0,-7.62,0.0,,-0.09,-1.91,0.08,0.3,0.09,0.65,0.0,-1.79
UFC 191,francisco rivera,john lineker,Blue,Bantamweight,0,Men,Submission,1,3,128,Chris Tognoni,0,16,36,0.44,16,36,0.44,0,1,0.0,0,0,13,11,7,42.0,172.72,61.23,177.8,Orthodox,4.07,3.16,0.41,0.63,0.68,0.68,0.6,1.01,1,28,60,0.46,32,64,0.5,0,0,0.0,1,0,19,31,9,33.0,160.02,61.23,170.18,Orthodox,5.36,4.27,0.4,0.58,0.56,0.67,0.6,0.56,-1,-12,-24,-0.02,-16,-28,-0.06,0,1,0.0,-1,0,-6,-20,-2,9.0,12.699999999999989,0.0,7.620000000000003,-1.29,-1.11,0.01,0.05,0.12,0.01,0.0,0.4499999999999999
UFC Fight Night,marcus brimage,jimmie rivera,Blue,Bantamweight,0,Men,KO/TKO,1,3,89,Neil Hall,0,9,17,0.52,9,17,0.53,0,0,0.0,0,0,0,7,7,38.0,162.56,61.23,180.34,Southpaw,3.97,3.64,0.35,1.0,0.56,0.8,0.0,0.56,1,15,27,0.55,15,27,0.56,0,0,0.0,0,0,1,23,5,34.0,162.56,61.23,172.72,Orthodox,4.03,3.9,0.4,0.27,0.6,0.92,0.1,0.88,-1,-6,-10,-0.03,-6,-10,-0.03,0,0,0.0,0,0,-1,-16,2,4.0,0.0,0.0,7.620000000000003,-0.06,-0.26,-0.05,0.73,-0.04,-0.12,-0.1,-0.32
UFC 181,urijah faber,francisco rivera,Red,Bantamweight,0,Men,Submission,2,3,94,Mario Yamasaki,1,19,52,0.36,19,52,0.37,0,3,0.0,1,0,14,35,11,44.0,167.64,61.23,170.18,Orthodox,2.65,2.59,0.4,0.3,0.64,0.58,0.8,1.54,0,15,56,0.26,15,56,0.27,0,0,0.0,0,0,0,11,7,42.0,172.72,61.23,177.8,Orthodox,4.07,3.16,0.41,0.63,0.68,0.68,0.6,1.01,1,4,-4,0.1,4,-4,0.1,0,3,0.0,1,0,14,24,4,2.0,-5.08,0.0,-7.62,-1.42,-0.57,-0.01,-0.33,-0.04,-0.1,0.2,0.53
UFC 173,takeya mizugaki,francisco rivera,Red,Bantamweight,0,Men,Decision - Unanimous,3,3,300,Yves Lavigne,1,35,135,0.25,67,179,0.37,0,3,0.0,0,0,492,21,11,40.0,170.18,61.23,175.26,Orthodox,3.37,3.27,0.37,0.57,0.57,0.7,0.1,1.46,0,41,104,0.39,61,124,0.49,3,4,0.75,1,0,43,11,7,42.0,172.72,61.23,177.8,Orthodox,4.07,3.16,0.41,0.63,0.68,0.68,0.6,1.01,1,-6,31,-0.14,6,55,-0.12,-3,-1,-0.75,-1,0,449,10,4,-2.0,-2.54,0.0,-2.54,-0.7,0.1099999999999998,-0.04,-0.06,-0.11,0.0199999999999999,-0.5,0.4499999999999999
UFC 156,edwin figueroa,francisco rivera,Blue,Bantamweight,0,Men,KO/TKO,2,3,260,Kim Winslow,1,24,97,0.24,36,109,0.33,1,1,1.0,0,0,128,9,5,39.0,170.18,61.23,175.26,Orthodox,2.57,3.06,0.39,1.0,0.51,0.37,0.6,0.2,1,51,127,0.4,54,131,0.41,2,2,1.0,0,0,67,11,7,42.0,172.72,61.23,177.8,Orthodox,4.07,3.16,0.41,0.63,0.68,0.68,0.6,1.01,0,-27,-30,-0.16,-18,-22,-0.08,-1,-1,0.0,0,0,61,-2,-2,-3.0,-2.54,0.0,-2.54,-1.5,-0.1,-0.02,0.37,-0.17,-0.31,0.0,-0.81
UFC on FOX,mauricio rua,brandon vera,Red,Light Heavyweight,0,Men,KO/TKO,4,5,249,Herb Dean,1,68,103,0.66,142,184,0.77,4,7,0.57,0,0,686,27,14,42.0,185.42,92.99,193.04,Orthodox,3.57,2.79,0.5,0.48,0.54,0.49,0.7,2.01,0,67,106,0.63,89,132,0.67,1,2,0.5,1,0,111,15,7,46.0,190.5,104.33,198.12,Orthodox,3.03,2.81,0.56,0.53,0.52,0.59,0.2,0.7,1,1,-3,0.03,53,52,0.1,3,5,0.07,-1,0,575,12,7,-4.0,-5.08,-11.34,-5.08,0.54,-0.02,-0.06,-0.05,0.02,-0.1,0.4999999999999999,1.3099999999999998
UFC on FX,jorge rivera,eric schafer,Red,Middleweight,0,Men,KO/TKO,2,3,91,Herb Dean,0,6,17,0.35,34,48,0.71,0,0,0.0,0,1,58,20,9,52.0,185.42,83.91,185.42,Orthodox,3.16,2.64,0.48,0.5,0.54,0.63,0.1,0.84,0,6,9,0.66,47,57,0.82,2,5,0.4,0,0,278,14,8,46.0,190.5,83.91,193.04,Orthodox,1.89,3.38,0.34,0.36,0.56,0.5,1.8,1.81,0,0,8,-0.31,-13,-9,-0.11,-2,-5,-0.4,0,1,-220,6,1,6.0,-5.08,0.0,-7.62,1.2700000000000002,-0.74,0.1399999999999999,0.14,-0.02,0.13,-1.7,-0.97
UFC 137,brandon vera,eliot marshall,Red,Light Heavyweight,0,Men,Decision - Unanimous,3,3,300,Kim Winslow,0,33,65,0.5,55,88,0.62,1,2,0.5,0,0,430,15,7,46.0,190.5,104.33,198.12,Orthodox,3.03,2.81,0.56,0.53,0.52,0.59,0.2,0.7,1,21,55,0.38,79,115,0.69,1,3,0.33,2,0,130,10,4,43.0,187.96,92.99,195.58,Orthodox,1.93,2.39,0.27,0.33,0.67,0.79,0.9,0.47,-1,12,10,0.12,-24,-27,-0.07,0,-1,0.1699999999999999,-2,0,300,5,3,3.0,2.539999999999992,11.340000000000003,2.539999999999992,1.1,0.4199999999999999,0.29,0.2,-0.15,-0.2,-0.7,0.2299999999999999
UFC 133,jorge rivera,constantinos philippou,Blue,Middleweight,0,Men,Decision - Split,3,3,300,Mario Yamasaki,0,25,70,0.35,69,131,0.53,1,2,0.5,0,1,306,20,9,52.0,185.42,83.91,185.42,Orthodox,3.16,2.64,0.48,0.5,0.54,0.63,0.1,0.84,1,35,89,0.39,79,144,0.55,2,3,0.66,1,1,335,13,5,44.0,180.34,83.91,185.42,Orthodox,2.19,2.73,0.35,0.42,0.54,0.65,0.3,0.4,-1,-10,-19,-0.04,-10,-13,-0.02,-1,-1,-0.16,-1,0,-29,7,4,8.0,5.079999999999984,0.0,0.0,0.9700000000000002,-0.09,0.13,0.08,0.0,-0.02,-0.2,0.4399999999999999
UFC 127,michael bisping,jorge rivera,Red,Middleweight,0,Men,KO/TKO,2,3,114,Marc Goddard,1,50,123,0.4,57,132,0.43,3,8,0.37,0,0,77,30,9,45.0,185.42,83.91,190.5,Orthodox,4.33,2.71,0.38,0.43,0.65,0.63,0.3,1.05,0,8,53,0.15,9,54,0.17,0,0,0.0,0,0,0,20,9,52.0,185.42,83.91,185.42,Orthodox,3.16,2.64,0.48,0.5,0.54,0.63,0.1,0.84,1,42,70,0.25,48,78,0.26,3,8,0.37,0,0,77,10,0,-7.0,0.0,0.0,5.0800000000000125,1.17,0.07,-0.1,-0.07,0.1099999999999999,0.0,0.1999999999999999,0.21
UFC 104,jorge rivera,rob kimmons,Red,Middleweight,0,Men,KO/TKO,3,3,113,Jason Herzog,1,66,136,0.48,135,224,0.6,0,0,0.0,0,0,439,20,9,52.0,185.42,83.91,185.42,Orthodox,3.16,2.64,0.48,0.5,0.54,0.63,0.1,0.84,0,23,54,0.42,88,120,0.73,1,3,0.33,0,0,179,25,9,43.0,177.8,83.91,185.42,Orthodox,1.86,4.79,0.48,0.46,0.38,0.25,2.4,2.08,1,43,82,0.06,47,104,-0.13,-1,-3,-0.33,0,0,260,-5,0,9.0,7.619999999999976,0.0,0.0,1.3,-2.15,0.0,0.04,0.16,0.38,-2.3,-1.24
UFC 102,brandon vera,krzysztof soszynski,Red,Light Heavyweight,0,Men,Decision - Unanimous,3,3,300,Herb Dean,0,62,134,0.46,73,146,0.5,1,1,1.0,0,0,186,15,7,46.0,190.5,104.33,198.12,Orthodox,3.03,2.81,0.56,0.53,0.52,0.59,0.2,0.7,0,41,127,0.32,55,143,0.38,1,5,0.2,0,0,159,26,12,46.0,185.42,92.99,195.58,Open Stance,3.37,3.13,0.39,0.25,0.58,0.71,1.0,0.52,0,21,7,0.14,18,3,0.12,0,-4,0.8,0,0,27,-11,-5,0.0,5.0800000000000125,11.340000000000003,2.539999999999992,-0.34,-0.32,0.17,0.28,-0.06,-0.12,-0.8,0.1799999999999999
UFC Fight Night,jorge rivera,nissen osterneck,Red,Middleweight,0,Men,Decision - Split,3,3,300,Dan Miragliotta,1,29,48,0.6,61,85,0.72,4,8,0.5,0,1,424,20,9,52.0,185.42,83.91,185.42,Orthodox,3.16,2.64,0.48,0.5,0.54,0.63,0.1,0.84,0,35,70,0.5,74,110,0.67,1,8,0.12,1,1,291,12,4,42.0,187.96,83.91,,Orthodox,3.15,2.9,0.58,0.12,0.41,0.42,1.3,0.63,1,-6,-22,0.1,-13,-25,0.05,3,0,0.38,-1,0,133,8,5,10.0,-2.54,0.0,,0.0100000000000002,-0.26,-0.1,0.38,0.13,0.21,-1.2,0.2099999999999999
UFC 96,brandon vera,michael patt,Red,Light Heavyweight,0,Men,KO/TKO,2,3,87,Yves Lavigne,2,32,75,0.42,32,75,0.43,0,0,0.0,0,0,11,15,7,46.0,190.5,104.33,198.12,Orthodox,3.03,2.81,0.56,0.53,0.52,0.59,0.2,0.7,0,5,28,0.17,5,28,0.18,0,0,0.0,0,0,0,12,4,,182.88,92.99,,Orthodox,1.65,5.53,0.28,0.0,0.55,0.0,0.0,0.0,2,27,47,0.2499999999999999,27,47,0.25,0,0,0.0,0,0,11,3,3,,7.620000000000003,11.340000000000003,,1.38,-2.72,0.28,0.53,-0.03,0.59,0.2,0.7
UFC Fight Night,charles oliveira,nik lentz,Red,Lightweight,0,Men,KO/TKO,2,3,131,Todd Ronald Anderson,1,38,59,0.64,43,64,0.67,0,0,0.0,1,1,97,34,9,34.0,177.8,70.31,187.96,Orthodox,3.54,3.19,0.53,0.4,0.51,0.55,2.7,2.32,0,18,49,0.36,21,53,0.4,2,4,0.5,0,0,100,30,12,39.0,172.72,65.77,172.72,Orthodox,3.44,3.25,0.47,0.32,0.5,0.43,1.2,3.3,1,20,10,0.28,22,11,0.27,-2,-4,-0.5,1,1,-3,4,-3,-5.0,5.0800000000000125,4.540000000000006,15.240000000000007,0.1,-0.06,0.06,0.08,0.01,0.12,1.5000000000000002,-0.98
UFC Fight Night,nik lentz,charles oliveira,Blue,Featherweight,0,Men,Submission,3,3,70,Kevin MacDonald,0,37,69,0.53,58,95,0.61,2,10,0.2,1,0,380,30,12,39.0,172.72,65.77,172.72,Orthodox,3.44,3.25,0.47,0.32,0.5,0.43,1.2,3.3,1,64,84,0.76,84,105,0.8,1,2,0.5,2,0,117,34,9,34.0,177.8,70.31,187.96,Orthodox,3.54,3.19,0.53,0.4,0.51,0.55,2.7,2.32,-1,-27,-15,-0.23,-26,-10,-0.19,1,8,-0.3,-1,0,263,-4,3,5.0,-5.08,-4.54,-15.24,-0.1,0.06,-0.06,-0.08,-0.01,-0.12,-1.5,0.98
UFC 103,nik lentz,rafaello oliveira,Red,Lightweight,0,Men,Decision - Unanimous,3,3,300,Kerry Hatley,0,67,136,0.49,124,197,0.63,4,5,0.8,4,0,198,30,12,39.0,172.72,65.77,172.72,Orthodox,3.44,3.25,0.47,0.32,0.5,0.43,1.2,3.3,0,29,110,0.26,91,188,0.48,4,7,0.57,0,1,339,17,8,42.0,172.72,70.31,180.34,Orthodox,2.19,3.38,0.33,0.36,0.59,0.11,1.6,2.49,0,38,26,0.2299999999999999,33,9,0.15,0,-2,0.2300000000000001,4,-1,-141,13,4,-3.0,0.0,-4.54,-7.62,1.25,-0.13,0.1399999999999999,-0.04,-0.09,0.32,-0.4,0.8099999999999996
UFC Fight Night,donald cerrone,alex oliveira,Red,Welterweight,0,Men,Submission,1,5,153,Mario Yamasaki,0,4,6,0.66,7,10,0.7,1,2,0.5,1,0,33,36,17,40.0,185.42,70.31,185.42,Orthodox,4.41,4.48,0.46,0.33,0.53,0.73,1.2,1.16,0,14,24,0.58,17,27,0.63,0,0,0.0,0,0,51,22,12,36.0,180.34,77.11,193.04,Orthodox,2.99,2.55,0.51,0.38,0.46,0.63,0.6,2.35,0,-10,-18,0.08,-10,-17,0.07,1,2,0.5,1,0,-18,14,5,4.0,5.079999999999984,-6.8,-7.62,1.42,1.9300000000000008,-0.05,-0.05,0.07,0.1,0.6,-1.19
UFC Live,donald cerrone,charles oliveira,Red,Lightweight,0,Men,KO/TKO,1,3,181,Mario Yamasaki,0,30,60,0.5,32,63,0.51,0,0,0.0,0,0,12,36,17,40.0,185.42,70.31,185.42,Orthodox,4.41,4.48,0.46,0.33,0.53,0.73,1.2,1.16,0,10,29,0.34,10,29,0.34,0,0,0.0,0,0,0,34,9,34.0,177.8,70.31,187.96,Orthodox,3.54,3.19,0.53,0.4,0.51,0.55,2.7,2.32,0,20,31,0.1599999999999999,22,34,0.1699999999999999,0,0,0.0,0,0,12,2,8,6.0,7.619999999999976,0.0,-2.54,0.8700000000000001,1.2900000000000005,-0.07,-0.07,0.02,0.1799999999999999,-1.5,-1.16
UFC 137,mirko filipovic,roy nelson,Blue,Heavyweight,0,Men,KO/TKO,3,3,90,Steve Mazzagatti,0,30,59,0.5,37,66,0.56,0,1,0.0,0,0,26,35,11,49.0,187.96,104.33,185.42,Southpaw,2.11,1.89,0.5,0.4,0.63,0.78,0.3,0.19,0,32,75,0.42,70,116,0.6,2,2,1.0,0,0,255,22,14,47.0,182.88,119.29,185.42,Orthodox,2.18,4.79,0.36,0.27,0.46,0.65,0.1,1.14,0,-2,-16,0.08,-33,-50,-0.04,-2,-1,-1.0,0,0,-229,13,-3,2.0,5.0800000000000125,-14.96,0.0,-0.07,-2.9,0.14,0.13,0.1699999999999999,0.13,0.1999999999999999,-0.95
UFC 130,frank mir,roy nelson,Red,Heavyweight,0,Men,Decision - Unanimous,3,3,300,Josh Rosenthal,0,46,65,0.7,82,103,0.8,6,8,0.75,0,0,444,18,11,44.0,190.5,119.75,200.66,Southpaw,2.18,3.84,0.47,0.4,0.38,0.54,2.0,2.02,0,21,51,0.41,46,77,0.6,0,1,0.0,0,0,240,22,14,47.0,182.88,119.29,185.42,Orthodox,2.18,4.79,0.36,0.27,0.46,0.65,0.1,1.14,0,25,14,0.29,36,26,0.2,6,7,0.75,0,0,204,-4,-3,-3.0,7.620000000000003,0.4599999999999937,15.240000000000007,0.0,-0.95,0.1099999999999999,0.13,-0.08,-0.11,1.9,0.8800000000000001
UFC 283,lauren murphy,jessica andrade,Blue,Women's Flyweight,0,Women,Decision - Unanimous,3,3,300,Osiris Maia,0,100,293,0.34,103,296,0.35,0,15,0.0,0,0,9,16,6,40.0,165.1,56.7,170.18,Orthodox,4.05,5.25,0.39,0.25,0.55,0.69,0.1,1.03,0,231,369,0.62,237,375,0.63,1,1,1.0,0,0,71,25,12,32.0,154.94,52.16,157.48,Orthodox,6.67,5.36,0.5,0.54,0.54,0.72,0.4,2.45,0,-131,-76,-0.28,-134,-79,-0.28,-1,14,-1.0,0,0,-62,-9,-6,8.0,10.159999999999997,4.540000000000006,12.700000000000015,-2.62,-0.11,-0.11,-0.29,0.01,-0.03,-0.3,-1.42
UFC Fight Night,lerone murphy,douglas silva de andrade,Red,Featherweight,0,Men,Decision - Unanimous,3,3,300,Marc Goddard,0,48,115,0.41,60,131,0.46,1,4,0.25,0,0,111,13,0,32.0,175.26,65.77,185.42,Orthodox,3.65,2.4,0.5,0.46,0.56,0.46,0.9,1.29,0,39,108,0.36,51,121,0.42,1,2,0.5,0,0,81,29,5,38.0,170.18,61.23,172.72,Orthodox,3.66,3.99,0.38,0.46,0.58,0.7,0.2,0.61,0,9,7,0.05,9,10,0.04,0,2,-0.25,0,0,30,-16,-5,-6.0,5.079999999999984,4.539999999999999,12.699999999999989,-0.01,-1.59,0.12,0.0,-0.02,-0.24,0.7,0.68
UFC 273,aljamain sterling,petr yan,Red,UFC Bantamweight Title,1,Men,Decision - Split,5,5,300,Keith Peterson,0,62,110,0.56,91,143,0.64,2,22,0.09,0,0,511,23,4,34.0,170.18,65.77,180.34,Orthodox,4.73,2.41,0.52,0.24,0.58,0.45,0.8,1.97,0,63,103,0.61,139,186,0.75,0,0,0.0,0,0,352,17,5,31.0,170.18,61.23,170.18,Switch,5.14,4.36,0.53,0.51,0.58,0.85,0.1,1.73,0,-1,7,-0.05,-48,-43,-0.11,2,22,0.09,0,0,159,6,-1,3.0,0.0,4.539999999999999,10.159999999999997,-0.41,-1.95,-0.01,-0.27,0.0,-0.4,0.7000000000000001,0.24
UFC 259,petr yan,aljamain sterling,Blue,UFC Bantamweight Title,1,Men,DQ,4,5,269,Mark Smith,1,86,137,0.62,103,157,0.66,7,7,1.0,0,0,252,17,5,31.0,170.18,61.23,170.18,Switch,5.14,4.36,0.53,0.51,0.58,0.85,0.1,1.73,0,97,230,0.42,119,260,0.46,1,17,0.05,0,1,205,23,4,34.0,170.18,65.77,180.34,Orthodox,4.73,2.41,0.52,0.24,0.58,0.45,0.8,1.97,1,-11,-93,0.2,-16,-103,0.2,6,-10,0.95,0,-1,47,-6,1,-3.0,0.0,-4.54,-10.16,0.4099999999999992,1.95,0.01,0.27,0.0,0.3999999999999999,-0.7,-0.24
UFC Fight Night,aljamain sterling,bryan caraway,Blue,Bantamweight,0,Men,Decision - Split,3,3,300,Jason Herzog,0,32,64,0.5,56,91,0.62,1,3,0.33,2,0,231,23,4,34.0,170.18,65.77,180.34,Orthodox,4.73,2.41,0.52,0.24,0.58,0.45,0.8,1.97,0,9,31,0.29,69,96,0.72,3,6,0.5,0,0,395,21,9,39.0,172.72,61.23,172.72,Orthodox,2.53,3.61,0.34,0.25,0.54,0.8,0.8,2.57,0,23,33,0.21,-13,-5,-0.1,-2,-3,-0.17,2,0,-164,2,-5,-5.0,-2.54,4.539999999999999,7.620000000000003,2.2000000000000006,-1.2,0.18,-0.01,0.0399999999999999,-0.35,0.0,-0.6
UFC Fight Night,anthony smith,ryan spann,Red,Light Heavyweight,0,Men,Decision - Split,3,3,300,Mark Craig,0,91,147,0.61,91,147,0.62,1,3,0.33,0,0,56,37,19,35.0,193.04,92.99,193.04,Orthodox,3.21,4.47,0.48,0.26,0.46,0.48,0.6,0.49,0,59,187,0.31,62,191,0.32,0,1,0.0,0,0,79,21,9,32.0,195.58,92.99,200.66,Orthodox,3.42,3.91,0.4,0.35,0.45,0.47,1.5,1.29,0,32,-40,0.3,29,-44,0.3,1,2,0.33,0,0,-23,16,10,3.0,-2.54,0.0,-7.62,-0.21,0.5599999999999996,0.08,-0.09,0.01,0.01,-0.9,-0.8
UFC Fight Night,anthony smith,ryan spann,Red,Light Heavyweight,0,Men,Submission,1,5,227,Herb Dean,2,17,28,0.6,18,29,0.62,0,0,0.0,1,0,98,37,19,35.0,193.04,92.99,193.04,Orthodox,3.21,4.47,0.48,0.26,0.46,0.48,0.6,0.49,0,8,20,0.4,8,20,0.4,0,1,0.0,0,0,30,21,9,32.0,195.58,92.99,200.66,Orthodox,3.42,3.91,0.4,0.35,0.45,0.47,1.5,1.29,2,9,8,0.1999999999999999,10,9,0.2199999999999999,0,-1,0.0,1,0,68,16,10,3.0,-2.54,0.0,-7.62,-0.21,0.5599999999999996,0.08,-0.09,0.01,0.01,-0.9,-0.8
UFC Fight Night,santiago ponzinibbio,li jingliang,Blue,Welterweight,0,Men,KO/TKO,1,3,265,Jason Herzog,0,11,18,0.61,11,18,0.61,0,0,0.0,0,0,0,30,7,37.0,182.88,77.11,185.42,Orthodox,4.9,4.67,0.41,0.3,0.61,0.6,0.0,0.48,1,21,50,0.42,21,50,0.42,0,0,0.0,0,0,2,19,8,36.0,182.88,77.11,180.34,Orthodox,4.46,3.84,0.42,0.41,0.57,0.6,0.0,1.25,-1,-10,-32,0.19,-10,-32,0.19,0,0,0.0,0,0,-2,11,-1,1.0,0.0,0.0,5.079999999999984,0.4400000000000004,0.8300000000000001,-0.01,-0.11,0.04,0.0,0.0,-0.77
UFC Fight Night,santiago ponzinibbio,wendell oliveira marques,Red,Welterweight,0,Men,KO/TKO,1,3,80,Mario Yamasaki,1,10,26,0.38,10,26,0.38,0,0,0.0,0,0,1,30,7,37.0,182.88,77.11,185.42,Orthodox,4.9,4.67,0.41,0.3,0.61,0.6,0.0,0.48,0,8,24,0.33,8,24,0.33,0,0,0.0,0,0,0,29,10,40.0,177.8,77.11,,Orthodox,3.77,4.4,0.47,0.0,0.47,1.0,0.0,0.0,1,2,2,0.05,2,2,0.05,0,0,0.0,0,0,1,1,-3,-3.0,5.079999999999984,0.0,,1.1300000000000003,0.2699999999999996,-0.06,0.3,0.14,-0.4,0.0,0.48
UFC 268,rose namajunas,zhang weili,Red,UFC Women's Strawweight Title,1,Women,Decision - Split,5,5,300,Marc Goddard,0,86,168,0.51,130,219,0.59,2,2,1.0,0,1,420,13,6,31.0,165.1,56.7,165.1,Orthodox,3.69,3.51,0.41,0.47,0.63,0.59,0.5,1.38,0,83,173,0.47,162,272,0.6,5,11,0.45,0,0,217,24,3,34.0,162.56,52.16,160.02,Switch,5.94,3.44,0.51,0.42,0.53,0.66,0.4,2.29,0,3,-5,0.04,-32,-53,-0.01,-3,-9,0.55,0,1,203,-11,3,-3.0,2.539999999999992,4.540000000000006,5.079999999999984,-2.25,0.07,-0.1,0.05,0.1,-0.07,0.1,-0.91
UFC 261,zhang weili,rose namajunas,Blue,UFC Women's Strawweight Title,1,Women,KO/TKO,1,5,78,Keith Peterson,0,7,11,0.63,7,11,0.64,0,0,0.0,0,0,0,24,3,34.0,162.56,52.16,160.02,Switch,5.94,3.44,0.51,0.42,0.53,0.66,0.4,2.29,1,5,10,0.5,5,10,0.5,0,0,0.0,0,0,3,13,6,31.0,165.1,56.7,165.1,Orthodox,3.69,3.51,0.41,0.47,0.63,0.59,0.5,1.38,-1,2,1,0.13,2,1,0.14,0,0,0.0,0,0,-3,11,-3,3.0,-2.54,-4.54,-5.08,2.2500000000000004,-0.07,0.1,-0.05,-0.1,0.07,-0.1,0.91
UFC Fight Night,westin wilson,jean silva,Blue,Featherweight,0,Men,KO/TKO,1,3,252,Marc Goddard,0,11,36,0.3,11,36,0.31,0,3,0.0,0,0,4,16,9,35.0,185.42,65.77,185.42,Southpaw,2.11,6.62,0.34,0.0,0.28,0.0,4.2,0.0,1,25,36,0.69,25,36,0.69,1,1,1.0,0,0,8,12,2,27.0,170.18,65.77,175.26,Orthodox,5.83,4.27,0.52,0.5,0.57,1.0,0.0,1.56,-1,-14,0,-0.39,-14,0,-0.38,-1,2,-1.0,0,0,-4,4,7,8.0,15.23999999999998,0.0,10.159999999999997,-3.72,2.3500000000000005,-0.18,-0.5,-0.29,-1.0,4.2,-1.56
UFC 199,jonathan wilson,henrique da silva,Blue,Light Heavyweight,0,Men,KO/TKO,2,3,251,Mike Beltran,1,66,97,0.68,71,102,0.7,1,1,1.0,0,0,82,7,3,36.0,187.96,92.99,190.5,Southpaw,2.92,5.65,0.48,1.0,0.56,0.8,0.0,0.37,0,81,136,0.59,97,153,0.63,0,0,0.0,0,1,91,14,5,34.0,190.5,92.99,193.04,Orthodox,3.89,5.28,0.6,0.14,0.4,0.22,0.2,0.25,1,-15,-39,0.09,-26,-51,0.07,1,1,1.0,0,-1,-9,-7,-2,2.0,-2.54,0.0,-2.54,-0.97,0.3700000000000001,-0.12,0.86,0.16,0.5800000000000001,-0.2,0.12
